recipe_tag	coefficient
bias	0.3810343814338305
alfredo	-0.021785583031267923
almond	0.06349797191065049
american	0.09057444678833892
appetizer	0.003991394326096097
appetizers	0.04643040520672377
apple	0.038510061671484214
asiancuisine	-0.020108864652190757
asparagus	0.050087789666059306
avocado	-0.06501688166506148
bacon	0.0818333007892146
baked	0.009424084939711613
bakeddishes	-0.18159567058053186
bakery	0.002177000565743677
baking	0.14830199831762342
beans	-0.006556518883516533
beef	-0.06226055767723763
bellpeppers	0.007862774861321776
berries	0.06312104866158454
blackbeans	0.007862774861321776
blackvinegar	0.02028579817068519
blueberry	0.03765841855600888
boiledeggs	0.011475140166681424
bokchoy	0.011475140166681424
braided	0.007385817345516162
bread	-0.008306153258109454
breaded	-0.01288375869610819
breakfast	-0.06072422976247489
breakfastpastry	-0.0129677416995364
brioche	0.026008891987116284
broiling	0.0005038987551720438
brownies	0.00856917354580786
brownsugar	0.006102536568131438
brunch	0.1007087190480743
burger	0.006563648370044937
burritos	0.02054228109697825
buttery	0.008444457654288307
cake	-0.0018324867230441327
carrots	0.011475140166681424
casserole	0.02553123995842611
celebration	0.00920599922096686
cheese	0.03256631045515532
cheesy	-0.029742624669553894
cherry	-0.018878031371043658
chicken	-0.03553825914515303
chickpeas	0.006563648370044937
chilioil	0.01665607227157466
chilipowder	0.007862774861321776
chinese	0.022863817508063208
chinesecookingwine	-0.0036297258991105294
chinesecuisine	-0.0031726865465974835
chocolate	0.20994295425797793
chocolatechip	0.06098911377711189
chocolatecroissant	-0.0129677416995364
christmas	0.03230338843668029
cilantro	-0.0027162696012270893
cinnamon	-0.029728035276844814
citrus	0.01615169421834014
classic	0.04583643311853425
cloves	0.02417865632834514
cobbler	-0.06103977385470507
cocoapowder	0.009180002453489274
coffee	0.02332505987522051
cold	0.022863817508063208
coldnoodles	0.003414214191642957
comfortfood	0.016375574502776782
condiment	0.02816500675711176
cookies	0.08199008514476464
corn	0.00920599922096686
cranberry	0.046147433022427534
creamcheese	0.004774045577321259
creamy	0.038930586795670054
crisp	-0.019477547466699968
crispy	-0.04648780850504393
croissant	0.02332505987522051
croissants	0.08307829406309758
crumble	0.05972384953214704
crust	0.02417865632834514
cucumber	0.003414214191642957
cumin	0.007862774861321776
cupcakes	0.042828298890770805
custard	0.010297889397019953
custardy	0.025024480817789498
customizable	0.04329698173744502
danish	0.004774045577321259
dashibroth	0.016347984037327977
dates	-0.003604256280188935
decadent	0.05598820788382306
dessert	0.20319733563890727
dinner	-0.03336522671912556
dip	-0.0017405146950178908
donuts	-0.06123406539261769
easterneuropean	0.007385817345516162
easy	-0.04919230129350981
easydinner	0.021095411434495497
egg	0.016322559271068605
eggs	-0.060736444272519924
eggwhites	-0.029671238888705875
fajitaseasoning	0.011840135705221596
fall	0.022072913360754877
familyfriendly	0.0466266513929216
fastfood	-0.01288375869610819
fetacheese	-0.037747849678761734
filling	-0.01509272579947004
fingerfood	-0.011292269233702763
flaky	-0.031606942875474636
french	-0.01507408506522498
frenchcuisine	0.01569049069127135
frenchpastry	0.012534318741427786
fresh	-0.012900037190515365
fried	-0.019122900408621482
friedfood	0.028488672698345152
friedrice	-0.05838970753691506
fries	0.03566540964021515
frosting	0.04099581216772667
fruit	-0.05953900650800657
fudgy	0.0486023905383069
gamedayfood	0.040869198218061106
ganache	-0.011012489176533406
garlic	-0.04327297741493207
ginger	-0.0036297258991105294
glutenfree	-0.05380942386259051
goldenbrown	0.025694182928095652
greenbeans	0.008215177981564
greenonion	-0.03964325151582154
greenonions	0.032017421263659675
grill	0.006563648370044937
grilled	-0.0018786334575993128
grilling	0.0005038987551720438
groundbeef	-0.04102923371632921
gruyere	-0.008804977295648608
gruyerecheese	0.017245304405904844
guacamole	0.013146391683026839
hamandcheese	0.004774045577321259
hamburger	0.005053127521189473
handheld	0.04329698173744502
handtorndough	0.018427917943038864
hawaii	0.005053127521189473
hawaiian	0.015010470552506686
healthy	0.025654563368166197
herbs	0.025436524122377503
holiday	0.041509387657647154
homemade	-0.1848056306348418
indulgent	0.042828298890770805
italian	0.01645872585538094
italiancuisine	-0.021785583031267923
jalapenos	0.03566540964021515
japanesecuisine	0.037198107914080694
juicy	-0.02231178057523298
ketchup	0.005053127521189473
keto	-1.8077213006547113e-05
kidfriendly	-0.011292269233702763
koreancuisine	0.018427917943038864
laminateddough	0.002177000565743677
lasagna	-0.02085185792162899
lattice	0.02417865632834514
lettuce	-0.00640452524072062
lime	0.0009134562978834401
loadednachos	0.005203788577845956
lowcarb	-1.8077213006547113e-05
lunch	-0.03336522671912556
macandcheese	0.013906105977880556
maple	-0.06123406539261769
maplesyrup	0.13959547347099327
masa	0.00920599922096686
mayonnaise	0.005053127521189473
meal	-0.01288375869610819
mealprep	0.014471068190968871
meat	0.031623746852825006
meatsauce	0.034242338578015265
mexican	0.05335970044681434
mexicancuisine	0.02830873918436285
mexicanfood	0.005203788577845956
middleeastern	0.017475090393140713
miso	0.011475140166681424
muffins	0.014471068190968871
mushroom	0.09134249878917755
mushrooms	0.011475140166681424
nachos	0.01710908810309099
noodles	0.0525245993888197
noodlesoup	0.011475140166681424
nori	0.015010470552506686
numbing	-0.027088210616393202
nutmeg	0.03028119289647658
oat	0.03594277020503033
oats	-0.0077415080176158006
onion	0.008748762418423376
onions	0.019702910566543372
onthego	0.015010470552506686
oven	-0.0129677416995364
oysters	0.01862137395557647
pacificislands	0.005053127521189473
pancakes	0.13959547347099327
parmesan	-0.008804977295648608
partyfood	-0.00105443869524431
pasta	-0.02566308977602169
pastasauce	0.034242338578015265
pastry	0.016935336888458344
pastrycrust	-0.0077791764118846545
peach	-0.13639292633016428
peanutbutter	0.04038498326004526
peanutdressing	-0.06316633035965526
peanuts	0.02028579817068519
peppers	0.011840135705221596
pickledvegetables	0.004009091792974434
pie	0.11475310311668406
piecrust	-0.037747849678761734
pork	0.02028579817068519
porkbelly	0.011475140166681424
potatoes	0.02054228109697825
protein	0.014471068190968871
puffpastry	-0.0129677416995364
quiche	-0.05703824463601052
quick	0.058029865544835246
ramen	0.011475140166681424
refreshing	0.022098725619283093
relish	0.01615169421834014
rhubarb	0.022098725619283093
rice	0.015010470552506686
ricevinegar	-0.03964325151582154
rich	0.05598820788382306
ricotta	-0.06538429286174911
salad	-0.1356603166926451
salsa	0.004398794281059701
salty	0.013906105977880556
sandwich	0.016322559271068605
sauce	0.016151694218340153
savory	-0.030527503179071463
scallions	0.01665607227157466
scallops	-0.006931760978788786
seafood	0.03062142967499859
sesame	0.022863817508063208
sesameoil	-0.03964325151582154
sesameseeds	-0.03964325151582154
shrimp	0.0005038987551720438
sichuancuisine	-0.006802412445708013
sichuanpeppercorns	0.01665607227157466
sidedish	0.028079225035084178
sidedishes	0.008215177981564
skewers	0.0005038987551720438
smoky	-0.06679538213426749
snack	0.008839197177433108
snacks	0.04388058762177915
sobanoodles	-0.020108864652190757
soft	0.025694182928095652
souffle	0.009558195261585037
soup	0.02780290165311016
sourcream	-0.015846878889207938
southern	0.04841270430467751
southerncuisine	0.01862137395557647
soysauce	-0.06990174661448052
spam	0.02006359807369616
spices	0.025436524122377503
spicy	0.015206455286670924
spicyfood	0.009867298742768682
spinach	-0.19519532301315962
spring	0.06438200764519642
steamed	0.00920599922096686
stirfry	-0.023458484717282672
strawberry	0.022098725619283093
streetfood	0.02531039651368065
stuffedpeppers	0.009867298742768682
summer	0.04998132579532703
sushi	0.015010470552506686
sweet	0.05760059250955436
sweetandsalty	0.02100097136765274
sweetandsavory	0.07836140807837558
sweettreat	0.010357318175684109
taco	-0.025856607252494966
tacos	0.007835306120539936
tangy	0.05440211405596338
tart	0.016151694218340153
tea	0.02332505987522051
tempura	0.016347984037327977
tender	0.012810424231987461
texmex	0.011840135705221596
thanksgiving	0.03230338843668029
toast	0.016322559271068605
tomato	0.06342300401712228
tomatoes	-0.07647182820859627
tomatosauce	-0.016595697526034126
tortilla	0.007862774861321776
tortillabowl	-0.025856607252494966
tortillachips	-0.046637379080494895
tortillas	0.032382416802199845
traditional	0.00920599922096686
twisted	0.007385817345516162
udonnoodles	0.016347984037327977
vanilla	-0.029671238888705875
vanillaicecream	-0.0077415080176158006
vegan	0.07088870061758099
vegetables	0.02442021805132022
vegetarian	-0.02501425085490315
warm	-0.0129677416995364
whippedcream	-0.0077415080176158006
winter	0.022072913360754877
yeastdough	0.007385817345516162
